claim_id,paper_section,claim_or_metric,source_stage,source_file,source_table_or_field,source_commit,sample_start,sample_end,metric_definition,status,reconciliation_note
DATA-03,4 Dataset and investable universe,Curated share classes: 296,A0/A1,UKACTIVE_A0A1_MANIFEST.json,count/manifest field for Curated share classes,2c26ad3639e4e025477d9415f4f7b707e9856b55,,,Canonical share-class records,RECONCILED,
DATA-04,4 Dataset and investable universe,Curated listings: 478,A0/A1,UKACTIVE_A0A1_MANIFEST.json,count/manifest field for Curated listings,2c26ad3639e4e025477d9415f4f7b707e9856b55,,,Exchange lines linked to share classes,RECONCILED,
DATA-05,4 Dataset and investable universe,Economic-exposure families: 99,A0/A1,UKACTIVE_A0A1_MANIFEST.json,count/manifest field for Economic-exposure families,2c26ad3639e4e025477d9415f4f7b707e9856b55,,,Research units before role/pool restrictions,RECONCILED,
DATA-06,4 Dataset and investable universe,Usable historical families: 90,A2,UKACTIVE_A2_FAMILY_COVERAGE_AND_READINESS.csv,count/manifest field for Usable historical families,2c26ad3639e4e025477d9415f4f7b707e9856b55,,,At least one accepted causal history in A2,RECONCILED,
DATA-07,4 Dataset and investable universe,A3-ready families: 86,A2,UKACTIVE_A2_FAMILY_COVERAGE_AND_READINESS.csv,count/manifest field for A3-ready families,2c26ad3639e4e025477d9415f4f7b707e9856b55,,,Met the then-current signal-readiness rule,RECONCILED,
DATA-08,4 Dataset and investable universe,Frozen structural M2 families: 27,A5C,UKACTIVE-A5C-SIPP/UKACTIVE_A5C_SIPP_FROZEN_SPEC.json,count/manifest field for Frozen structural M2 families,a8008f7709af3000a889bb234a86f8c520c4ed73,,,Industry-and-theme economic families in A5C,RECONCILED,
DATA-09,4 Dataset and investable universe,Signal-ready at cutoff: 25,A5C,UKACTIVE-A5C-SIPP/UKACTIVE_A5C_SIPP_FROZEN_SPEC.json,count/manifest field for Signal-ready at cutoff,a8008f7709af3000a889bb234a86f8c520c4ed73,,,Five-horizon score available at 2026-08-21,RECONCILED,
DATA-10,4 Dataset and investable universe,Warm-up/not signal-ready at cutoff: 2,A5C,UKACTIVE-A5C-SIPP/UKACTIVE_A5C_SIPP_FROZEN_SPEC.json,count/manifest field for Warm-up/not signal-ready at cutoff,a8008f7709af3000a889bb234a86f8c520c4ed73,,,Structurally admitted but lacking complete formation history,RECONCILED,
DATA-A2-COVERAGE,4 Dataset and investable universe,"A2 usable-history coverage: 89 one-year, 86 three-year, 77 five-year, 59 ten-year families",A2,UKACTIVE_A2_FAMILY_COVERAGE_AND_READINESS.csv,coverage-year aggregate rows,2c26ad3639e4e025477d9415f4f7b707e9856b55,,,Families with accepted history at each trailing horizon,RECONCILED,
DATA-A2-PANEL,5 Construction of the research data,A2 validated routes/histories/panel counts,A2,UKACTIVE_A2_MANIFEST.json,"summary counts: 367 routes, 357 histories, 667700 panel rows",2c26ad3639e4e025477d9415f4f7b707e9856b55,,,,RECONCILED,
DATA-A2-MISSING,5 Construction of the research data,"1,842 stale observations invalidated and 62,667 in-life missing observations retained as missing",A2,UKACTIVE_A2_STALE_AND_MISSING_DATA_REPORT.csv,aggregate status counts,2c26ad3639e4e025477d9415f4f7b707e9856b55,,,,RECONCILED,
DATA-A2R-BLOCK,5 Construction of the research data,A3R0 found 14 material family/history mismatches; A2R remediated 13 without proxying the remaining family,A3R0/A2R,UKACTIVE_A2R_BEFORE_AFTER_HISTORY_AUDIT.csv,blocking-family before/after status,2c26ad3639e4e025477d9415f4f7b707e9856b55,,,,RECONCILED,
DATA-A2R2-CALENDAR,5 Construction of the research data,A2R2 removed 29 false vendor sessions and rebuilt a true XLON calendar,A2R2,UKACTIVE_A2R2_ROOT_CAUSE_REPORT.md,false-session root-cause findings,0a5d32896e777c806dd3485650da1cd4d7660832,,,,RECONCILED,
DATA-A2R2-ENDPOINT,5 Construction of the research data,Prior-only endpoint tolerance is at most three true XLON sessions; gaps over three reset the segment,A2R2,UKACTIVE_A2R2_GAP_AND_STALENESS_POLICY.md,endpoint tolerance and segment-reset rules,0a5d32896e777c806dd3485650da1cd4d7660832,,,,RECONCILED,
DATA-A2R2-ELIG,5 Construction of the research data,Cutoff eligibility: 81 families for 21/42/63/126 and 80 for 252 sessions in the broader corrected panel,A2R2,UKACTIVE_A2R2_HORIZON_COVERAGE_BY_YEAR.csv,2026/latest horizon eligible-family counts,0a5d32896e777c806dd3485650da1cd4d7660832,,,,RECONCILED,
CASH-SONIA,7 Benchmark and cash definitions,"Historical cash is a time-varying GBP SONIA series, not a constant 4%",A2,UKACTIVE_A2_CASH_MODEL.md,accepted series and ACT/365 compounding contract,2c26ad3639e4e025477d9415f4f7b707e9856b55,,,,RECONCILED,
COST-HIST,10 Transaction-cost model,20 bps one-way market-price friction and fixed dealing fee; no double TER deduction,A5C,UKACTIVE-A5C-SIPP/UKACTIVE_A5C_SIPP_FROZEN_SPEC.json,historical_cost_model/live_cost_contract,a8008f7709af3000a889bb234a86f8c520c4ed73,,,,RECONCILED,
M2-FORMULA,8 Signal construction,M2 weights 0.10/0.15/0.25/0.30/0.20 on 21/42/63/126/252-session percentile relative strength,A5C,UKACTIVE-A5C-SIPP/UKACTIVE_A5C_SIPP_FROZEN_SPEC.json,scientific_active_strategy.signal,a8008f7709af3000a889bb234a86f8c520c4ed73,,,Weighted sum of cross-sectional average-tie percentile ranks of benchmark-relative total returns,RECONCILED,
M2-TIMING,6 Causal timing and execution contract,"Final valid XLON month-end review, first following valid session execution, maximum three-session window, no same-close",A5C,UKACTIVE-A5C-SIPP/UKACTIVE_A5C_SIPP_FROZEN_SPEC.json,execution_contract,a8008f7709af3000a889bb234a86f8c520c4ed73,,,,RECONCILED,
M2-FROZEN,26 Exact frozen strategy,INDUSTRY_PLUS_THEME | M2_BASE | TOP7 | MONTHLY | CASH0_ALWAYS_INVESTED | EQUAL,A5C,UKACTIVE-A5C-SIPP/UKACTIVE_A5C_SIPP_FROZEN_SPEC.json,scientific_active_strategy,a8008f7709af3000a889bb234a86f8c520c4ed73,,,,RECONCILED,
SIG-M1_EQUAL_5H,13 Multi-horizon signal comparison,M1_EQUAL_5H gate and full/latest-five-year portfolio metrics,A4D,UKACTIVE_A4D_ROBUSTNESS_RESULTS.csv,signal_id=M1_EQUAL_5H; BASE; no family exclusion,f411e0d169640a5120decee6940dc8a5769c3b5e,2017-03-01,2026-08-21,"Net CAGR, CAGR difference versus equal pool, MDD, turnover; subwindow identified in fields",RECONCILED,
SIG-M2_INTERMEDIATE_5H,13 Multi-horizon signal comparison,M2_INTERMEDIATE_5H gate and full/latest-five-year portfolio metrics,A4D,UKACTIVE_A4D_ROBUSTNESS_RESULTS.csv,signal_id=M2_INTERMEDIATE_5H; BASE; no family exclusion,f411e0d169640a5120decee6940dc8a5769c3b5e,2017-03-01,2026-08-21,"Net CAGR, CAGR difference versus equal pool, MDD, turnover; subwindow identified in fields",RECONCILED,
SIG-M3_STRUCTURAL_DETERIORATION,13 Multi-horizon signal comparison,M3_STRUCTURAL_DETERIORATION gate and full/latest-five-year portfolio metrics,A4D,UKACTIVE_A4D_ROBUSTNESS_RESULTS.csv,signal_id=M3_STRUCTURAL_DETERIORATION; BASE; no family exclusion,f411e0d169640a5120decee6940dc8a5769c3b5e,2017-03-01,2026-08-21,"Net CAGR, CAGR difference versus equal pool, MDD, turnover; subwindow identified in fields",RECONCILED,
BR-3,14 Breadth frontier,TOP3 full-history and latest-five-year after-cost metrics,A4D,UKACTIVE_A4D_BREADTH_RESULTS.csv,signal=M2_INTERMEDIATE_5H; breadth=3; FULL_HISTORY and LATEST_5Y; BASE,f411e0d169640a5120decee6940dc8a5769c3b5e,2017-03-01,2026-08-21,"Net CAGR, CAGR difference versus pool, MDD, Calmar, Ulcer, turnover, cost drag",RECONCILED,
BR-4,14 Breadth frontier,TOP4 full-history and latest-five-year after-cost metrics,A4D,UKACTIVE_A4D_BREADTH_RESULTS.csv,signal=M2_INTERMEDIATE_5H; breadth=4; FULL_HISTORY and LATEST_5Y; BASE,f411e0d169640a5120decee6940dc8a5769c3b5e,2017-03-01,2026-08-21,"Net CAGR, CAGR difference versus pool, MDD, Calmar, Ulcer, turnover, cost drag",RECONCILED,
BR-5,14 Breadth frontier,TOP5 full-history and latest-five-year after-cost metrics,A4D,UKACTIVE_A4D_BREADTH_RESULTS.csv,signal=M2_INTERMEDIATE_5H; breadth=5; FULL_HISTORY and LATEST_5Y; BASE,f411e0d169640a5120decee6940dc8a5769c3b5e,2017-03-01,2026-08-21,"Net CAGR, CAGR difference versus pool, MDD, Calmar, Ulcer, turnover, cost drag",RECONCILED,
BR-6,14 Breadth frontier,TOP6 full-history and latest-five-year after-cost metrics,A4D,UKACTIVE_A4D_BREADTH_RESULTS.csv,signal=M2_INTERMEDIATE_5H; breadth=6; FULL_HISTORY and LATEST_5Y; BASE,f411e0d169640a5120decee6940dc8a5769c3b5e,2017-03-01,2026-08-21,"Net CAGR, CAGR difference versus pool, MDD, Calmar, Ulcer, turnover, cost drag",RECONCILED,
BR-7,14 Breadth frontier,TOP7 full-history and latest-five-year after-cost metrics,A4D,UKACTIVE_A4D_BREADTH_RESULTS.csv,signal=M2_INTERMEDIATE_5H; breadth=7; FULL_HISTORY and LATEST_5Y; BASE,f411e0d169640a5120decee6940dc8a5769c3b5e,2017-03-01,2026-08-21,"Net CAGR, CAGR difference versus pool, MDD, Calmar, Ulcer, turnover, cost drag",RECONCILED,
BR-8,14 Breadth frontier,TOP8 full-history and latest-five-year after-cost metrics,A4D,UKACTIVE_A4D_BREADTH_RESULTS.csv,signal=M2_INTERMEDIATE_5H; breadth=8; FULL_HISTORY and LATEST_5Y; BASE,f411e0d169640a5120decee6940dc8a5769c3b5e,2017-03-01,2026-08-21,"Net CAGR, CAGR difference versus pool, MDD, Calmar, Ulcer, turnover, cost drag",RECONCILED,
BR-9,14 Breadth frontier,TOP9 full-history and latest-five-year after-cost metrics,A4D,UKACTIVE_A4D_BREADTH_RESULTS.csv,signal=M2_INTERMEDIATE_5H; breadth=9; FULL_HISTORY and LATEST_5Y; BASE,f411e0d169640a5120decee6940dc8a5769c3b5e,2017-03-01,2026-08-21,"Net CAGR, CAGR difference versus pool, MDD, Calmar, Ulcer, turnover, cost drag",RECONCILED,
BR-10,14 Breadth frontier,TOP10 full-history and latest-five-year after-cost metrics,A4D,UKACTIVE_A4D_BREADTH_RESULTS.csv,signal=M2_INTERMEDIATE_5H; breadth=10; FULL_HISTORY and LATEST_5Y; BASE,f411e0d169640a5120decee6940dc8a5769c3b5e,2017-03-01,2026-08-21,"Net CAGR, CAGR difference versus pool, MDD, Calmar, Ulcer, turnover, cost drag",RECONCILED,
FREQ-DAILY,15 Rebalance-frequency tests,DAILY baseline/doubled-cost full-history and latest-five-year metrics,A4D,UKACTIVE_A4D_FREQUENCY_RESULTS.csv,M2 TOP7 DAILY; BASE plus paired UKACTIVE_A4D_FREQUENCY_DOUBLE_COST_RESULTS.csv,f411e0d169640a5120decee6940dc8a5769c3b5e,2017-03-01,2026-08-21,"Gross/net CAGR, pool CAGR difference, MDD, Ulcer, turnover, cost drag, holding period, replacement rate, legs",RECONCILED,Doubled-cost fields join the canonical doubled-cost scorecard
FREQ-WEEKLY,15 Rebalance-frequency tests,WEEKLY baseline/doubled-cost full-history and latest-five-year metrics,A4D,UKACTIVE_A4D_FREQUENCY_RESULTS.csv,M2 TOP7 WEEKLY; BASE plus paired UKACTIVE_A4D_FREQUENCY_DOUBLE_COST_RESULTS.csv,f411e0d169640a5120decee6940dc8a5769c3b5e,2017-03-01,2026-08-21,"Gross/net CAGR, pool CAGR difference, MDD, Ulcer, turnover, cost drag, holding period, replacement rate, legs",RECONCILED,Doubled-cost fields join the canonical doubled-cost scorecard
FREQ-MONTHLY,15 Rebalance-frequency tests,MONTHLY baseline/doubled-cost full-history and latest-five-year metrics,A4D,UKACTIVE_A4D_FREQUENCY_RESULTS.csv,M2 TOP7 MONTHLY; BASE plus paired UKACTIVE_A4D_FREQUENCY_DOUBLE_COST_RESULTS.csv,f411e0d169640a5120decee6940dc8a5769c3b5e,2017-03-01,2026-08-21,"Gross/net CAGR, pool CAGR difference, MDD, Ulcer, turnover, cost drag, holding period, replacement rate, legs",RECONCILED,Doubled-cost fields join the canonical doubled-cost scorecard
CASH-0,16 Cash and defensive-overlay tests,CASH0 always invested full-history/latest-five-year economics,A4D,UKACTIVE_A4D_CASH_DEFENCE_RESULTS.csv,breadth=7; CASH_0_ALWAYS_INVESTED; FULL_HISTORY and LATEST_5Y; BASE,f411e0d169640a5120decee6940dc8a5769c3b5e,2017-03-01,2026-08-21,"Net CAGR, pool CAGR difference, MDD, Ulcer, Calmar, average cash weight, time with cash, turnover",RECONCILED,
CASH-1,16 Cash and defensive-overlay tests,CASH1 family above cash (252 sessions) full-history/latest-five-year economics,A4D,UKACTIVE_A4D_CASH_DEFENCE_RESULTS.csv,breadth=7; CASH_1_INDIVIDUAL_ABOVE_CASH_252; FULL_HISTORY and LATEST_5Y; BASE,f411e0d169640a5120decee6940dc8a5769c3b5e,2017-03-01,2026-08-21,"Net CAGR, pool CAGR difference, MDD, Ulcer, Calmar, average cash weight, time with cash, turnover",RECONCILED,
CASH-2,16 Cash and defensive-overlay tests,CASH2 pool breadth defence full-history/latest-five-year economics,A4D,UKACTIVE_A4D_CASH_DEFENCE_RESULTS.csv,breadth=7; CASH_2_POOL_BREADTH; FULL_HISTORY and LATEST_5Y; BASE,f411e0d169640a5120decee6940dc8a5769c3b5e,2017-03-01,2026-08-21,"Net CAGR, pool CAGR difference, MDD, Ulcer, Calmar, average cash weight, time with cash, turnover",RECONCILED,
CASH-3,16 Cash and defensive-overlay tests,CASH3 global confirmation full-history/latest-five-year economics,A4D,UKACTIVE_A4D_CASH_DEFENCE_RESULTS.csv,breadth=7; CASH_3_GLOBAL_CONFIRMATION; FULL_HISTORY and LATEST_5Y; BASE,f411e0d169640a5120decee6940dc8a5769c3b5e,2017-03-01,2026-08-21,"Net CAGR, pool CAGR difference, MDD, Ulcer, Calmar, average cash weight, time with cash, turnover",RECONCILED,
CASH-4,16 Cash and defensive-overlay tests,CASH4 combined defence full-history/latest-five-year economics,A4D,UKACTIVE_A4D_CASH_DEFENCE_RESULTS.csv,breadth=7; CASH_4_PARSIMONIOUS_COMBINED; FULL_HISTORY and LATEST_5Y; BASE,f411e0d169640a5120decee6940dc8a5769c3b5e,2017-03-01,2026-08-21,"Net CAGR, pool CAGR difference, MDD, Ulcer, Calmar, average cash weight, time with cash, turnover",RECONCILED,
WT-W0_EQUAL,"17 Weighting, deterioration and momentum-age tests",W0_EQUAL full/latest-five-year economics,A4D,UKACTIVE_A4D_WEIGHTING_RESULTS.csv,M2 TOP7 monthly CASH0; W0_EQUAL,f411e0d169640a5120decee6940dc8a5769c3b5e,2017-03-01,2026-08-21,"Net CAGR, pool CAGR difference, MDD, Ulcer, turnover",RECONCILED,
WT-W1_RANK_DECAY,"17 Weighting, deterioration and momentum-age tests",W1_RANK_DECAY full/latest-five-year economics,A4D,UKACTIVE_A4D_WEIGHTING_RESULTS.csv,M2 TOP7 monthly CASH0; W1_RANK_DECAY,f411e0d169640a5120decee6940dc8a5769c3b5e,2017-03-01,2026-08-21,"Net CAGR, pool CAGR difference, MDD, Ulcer, turnover",RECONCILED,
WT-W2_FIXED_TOP_HEAVY,"17 Weighting, deterioration and momentum-age tests",W2_FIXED_TOP_HEAVY full/latest-five-year economics,A4D,UKACTIVE_A4D_WEIGHTING_RESULTS.csv,M2 TOP7 monthly CASH0; W2_FIXED_TOP_HEAVY,f411e0d169640a5120decee6940dc8a5769c3b5e,2017-03-01,2026-08-21,"Net CAGR, pool CAGR difference, MDD, Ulcer, turnover",RECONCILED,
ECON-GLOBAL_100,18 Full-history economic results,100% SWDA/global developed equities: common-window statistical profile,A4D/A4F,UKACTIVE-A4F-SIPP-REGIME/UKACTIVE_A4F_SIPP_STATIC_FRONTIER.csv,strategy_id=GLOBAL_100; FULL_COMMON_HISTORY; BASE,6dba072dce65da56284a8c02f9f380301048d492,2017-03-01,2026-08-21,"Net CAGR, terminal wealth, MDD, Calmar, Ulcer, volatility, underwater duration, turnover and cost drag",RECONCILED,Opportunity-pool path metrics are deterministic diagnostics from its canonical wealth series; other rows are canonical A4F fields
ECON-GLOBAL_75_CASH25,18 Full-history economic results,75% SWDA / 25% cash control: common-window statistical profile,A4D/A4F,UKACTIVE-A4F-SIPP-REGIME/UKACTIVE_A4F_SIPP_STATIC_FRONTIER.csv,strategy_id=GLOBAL_75_CASH25; FULL_COMMON_HISTORY; BASE,6dba072dce65da56284a8c02f9f380301048d492,2017-03-01,2026-08-21,"Net CAGR, terminal wealth, MDD, Calmar, Ulcer, volatility, underwater duration, turnover and cost drag",RECONCILED,Opportunity-pool path metrics are deterministic diagnostics from its canonical wealth series; other rows are canonical A4F fields
ECON-M2_TOP7_CASH0_100,18 Full-history economic results,100% M2 TOP7 active strategy: common-window statistical profile,A4D/A4F,UKACTIVE-A4F-SIPP-REGIME/UKACTIVE_A4F_SIPP_STATIC_FRONTIER.csv,strategy_id=M2_TOP7_CASH0_100; FULL_COMMON_HISTORY; BASE,6dba072dce65da56284a8c02f9f380301048d492,2017-03-01,2026-08-21,"Net CAGR, terminal wealth, MDD, Calmar, Ulcer, volatility, underwater duration, turnover and cost drag",RECONCILED,Opportunity-pool path metrics are deterministic diagnostics from its canonical wealth series; other rows are canonical A4F fields
ECON-GLOBAL_50_M2_50,18 Full-history economic results,50% SWDA / 50% M2 research blend: common-window statistical profile,A4D/A4F,UKACTIVE-A4F-SIPP-REGIME/UKACTIVE_A4F_SIPP_STATIC_FRONTIER.csv,strategy_id=GLOBAL_50_M2_50; FULL_COMMON_HISTORY; BASE,6dba072dce65da56284a8c02f9f380301048d492,2017-03-01,2026-08-21,"Net CAGR, terminal wealth, MDD, Calmar, Ulcer, volatility, underwater duration, turnover and cost drag",RECONCILED,Opportunity-pool path metrics are deterministic diagnostics from its canonical wealth series; other rows are canonical A4F fields
ECON-GLOBAL_50_M2_25_CASH25,18 Full-history economic results,50% SWDA / 25% M2 / 25% cash: common-window statistical profile,A4D/A4F,UKACTIVE-A4F-SIPP-REGIME/UKACTIVE_A4F_SIPP_STATIC_FRONTIER.csv,strategy_id=GLOBAL_50_M2_25_CASH25; FULL_COMMON_HISTORY; BASE,6dba072dce65da56284a8c02f9f380301048d492,2017-03-01,2026-08-21,"Net CAGR, terminal wealth, MDD, Calmar, Ulcer, volatility, underwater duration, turnover and cost drag",RECONCILED,Opportunity-pool path metrics are deterministic diagnostics from its canonical wealth series; other rows are canonical A4F fields
ECON-M2_TOP7_CASH0_50_CASH50,18 Full-history economic results,50% M2 / 50% cash: common-window statistical profile,A4D/A4F,UKACTIVE-A4F-SIPP-REGIME/UKACTIVE_A4F_SIPP_STATIC_FRONTIER.csv,strategy_id=M2_TOP7_CASH0_50_CASH50; FULL_COMMON_HISTORY; BASE,6dba072dce65da56284a8c02f9f380301048d492,2017-03-01,2026-08-21,"Net CAGR, terminal wealth, MDD, Calmar, Ulcer, volatility, underwater duration, turnover and cost drag",RECONCILED,Opportunity-pool path metrics are deterministic diagnostics from its canonical wealth series; other rows are canonical A4F fields
ECON-M2_TOP7_CASH0_75_CASH25,18 Full-history economic results,75% M2 / 25% cash: common-window statistical profile,A4D/A4F,UKACTIVE-A4F-SIPP-REGIME/UKACTIVE_A4F_SIPP_STATIC_FRONTIER.csv,strategy_id=M2_TOP7_CASH0_75_CASH25; FULL_COMMON_HISTORY; BASE,6dba072dce65da56284a8c02f9f380301048d492,2017-03-01,2026-08-21,"Net CAGR, terminal wealth, MDD, Calmar, Ulcer, volatility, underwater duration, turnover and cost drag",RECONCILED,Opportunity-pool path metrics are deterministic diagnostics from its canonical wealth series; other rows are canonical A4F fields
ECON-EQUAL_WEIGHT_OPPORTUNITY_POOL,18 Full-history economic results,Contemporaneous equal-weight industry/theme opportunity pool: common-window statistical profile,A4D/A4F,UKACTIVE_A4D_EQUITY_CURVES.parquet,strategy_id=EQUAL_WEIGHT_OPPORTUNITY_POOL; FULL_COMMON_HISTORY; BASE,48cb69ffbaae25eb0dccc3226f47f5a7491e8bd7,2017-03-01,2026-08-21,"Net CAGR, terminal wealth, MDD, Calmar, Ulcer, volatility, underwater duration, turnover and cost drag",DERIVED_DIAGNOSTIC,Opportunity-pool path metrics are deterministic diagnostics from its canonical wealth series; other rows are canonical A4F fields
YEAR-2017,19 Year-by-year performance,"Calendar 2017 returns for SWDA, 50/50, M2, equal pool, 75/25 and 10% pilot-control difference",A4F/A5C,UKACTIVE-A4F-SIPP-REGIME/UKACTIVE_A4F_SIPP_YEAR_BY_YEAR_SCORECARD.csv,year=2017; static strategy rows; pilot difference joined from A5C WHOLE_PORTFOLIO_DRAG,6dba072dce65da56284a8c02f9f380301048d492,2017,2017,Compounded within-calendar-period net return; 2017 and 2026 partial,RECONCILED,Pilot-control difference joins UKACTIVE_A5C_SIPP_WHOLE_PORTFOLIO_DRAG.csv
YEAR-2018,19 Year-by-year performance,"Calendar 2018 returns for SWDA, 50/50, M2, equal pool, 75/25 and 10% pilot-control difference",A4F/A5C,UKACTIVE-A4F-SIPP-REGIME/UKACTIVE_A4F_SIPP_YEAR_BY_YEAR_SCORECARD.csv,year=2018; static strategy rows; pilot difference joined from A5C WHOLE_PORTFOLIO_DRAG,6dba072dce65da56284a8c02f9f380301048d492,2018,2018,Compounded within-calendar-period net return; 2017 and 2026 partial,RECONCILED,Pilot-control difference joins UKACTIVE_A5C_SIPP_WHOLE_PORTFOLIO_DRAG.csv
YEAR-2019,19 Year-by-year performance,"Calendar 2019 returns for SWDA, 50/50, M2, equal pool, 75/25 and 10% pilot-control difference",A4F/A5C,UKACTIVE-A4F-SIPP-REGIME/UKACTIVE_A4F_SIPP_YEAR_BY_YEAR_SCORECARD.csv,year=2019; static strategy rows; pilot difference joined from A5C WHOLE_PORTFOLIO_DRAG,6dba072dce65da56284a8c02f9f380301048d492,2019,2019,Compounded within-calendar-period net return; 2017 and 2026 partial,RECONCILED,Pilot-control difference joins UKACTIVE_A5C_SIPP_WHOLE_PORTFOLIO_DRAG.csv
YEAR-2020,19 Year-by-year performance,"Calendar 2020 returns for SWDA, 50/50, M2, equal pool, 75/25 and 10% pilot-control difference",A4F/A5C,UKACTIVE-A4F-SIPP-REGIME/UKACTIVE_A4F_SIPP_YEAR_BY_YEAR_SCORECARD.csv,year=2020; static strategy rows; pilot difference joined from A5C WHOLE_PORTFOLIO_DRAG,6dba072dce65da56284a8c02f9f380301048d492,2020,2020,Compounded within-calendar-period net return; 2017 and 2026 partial,RECONCILED,Pilot-control difference joins UKACTIVE_A5C_SIPP_WHOLE_PORTFOLIO_DRAG.csv
YEAR-2021,19 Year-by-year performance,"Calendar 2021 returns for SWDA, 50/50, M2, equal pool, 75/25 and 10% pilot-control difference",A4F/A5C,UKACTIVE-A4F-SIPP-REGIME/UKACTIVE_A4F_SIPP_YEAR_BY_YEAR_SCORECARD.csv,year=2021; static strategy rows; pilot difference joined from A5C WHOLE_PORTFOLIO_DRAG,6dba072dce65da56284a8c02f9f380301048d492,2021,2021,Compounded within-calendar-period net return; 2017 and 2026 partial,RECONCILED,Pilot-control difference joins UKACTIVE_A5C_SIPP_WHOLE_PORTFOLIO_DRAG.csv
