module_id,module_decision,decision_reason,evidence_level,warning
EXIT_STRENGTH_HARVEST_WEEKLY,REJECTED,NEGATIVE_NET_MONETISATION_VALUE_AND_INSUFFICIENT_DRAWDOWN_IMPROVEMENT,E2_DEVELOPMENTAL,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_STRENGTH_HARVEST_MONTHLY,REJECTED,NEGATIVE_NET_MONETISATION_VALUE_AND_INSUFFICIENT_DRAWDOWN_IMPROVEMENT,E2_DEVELOPMENTAL,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_STRENGTH_PLUS_DECELERATION_WEEKLY,REJECTED,NEGATIVE_NET_MONETISATION_VALUE_AND_INSUFFICIENT_DRAWDOWN_IMPROVEMENT,E2_DEVELOPMENTAL,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_STRENGTH_PLUS_DECELERATION_MONTHLY,REJECTED,NEGATIVE_NET_MONETISATION_VALUE_AND_INSUFFICIENT_DRAWDOWN_IMPROVEMENT,E2_DEVELOPMENTAL,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
REGIME_BINARY_WEEKLY,REJECTED,NO_REGIME_VARIANT_PASSED_POSITIVE_DERISK_AND_DRAWDOWN_GATES,E2_DEVELOPMENTAL,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
REGIME_GRADUAL_WEEKLY,REJECTED,NO_REGIME_VARIANT_PASSED_POSITIVE_DERISK_AND_DRAWDOWN_GATES,E2_DEVELOPMENTAL,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
REGIME_GRADUAL_HOSTILE25_WEEKLY,REJECTED,NO_REGIME_VARIANT_PASSED_POSITIVE_DERISK_AND_DRAWDOWN_GATES,E2_DEVELOPMENTAL,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
REGIME_BINARY_MONTHLY,REJECTED,NO_REGIME_VARIANT_PASSED_POSITIVE_DERISK_AND_DRAWDOWN_GATES,E2_DEVELOPMENTAL,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
REGIME_GRADUAL_MONTHLY,REJECTED,NO_REGIME_VARIANT_PASSED_POSITIVE_DERISK_AND_DRAWDOWN_GATES,E2_DEVELOPMENTAL,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
REGIME_GRADUAL_HOSTILE25_MONTHLY,REJECTED,NO_REGIME_VARIANT_PASSED_POSITIVE_DERISK_AND_DRAWDOWN_GATES,E2_DEVELOPMENTAL,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
ABLATION_BASELINE,REJECTED_OR_REDUNDANT_CONTROL,DID_NOT_PASS_SEQUENTIAL_PROMOTION_GATE,E2_DEVELOPMENTAL,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
ABLATION_SCALE_IN_ONLY,REJECTED_OR_REDUNDANT_CONTROL,DID_NOT_PASS_SEQUENTIAL_PROMOTION_GATE,E2_DEVELOPMENTAL,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
ABLATION_EXIT_ONLY_NOT_RUN,REJECTED_OR_REDUNDANT_CONTROL,DID_NOT_PASS_SEQUENTIAL_PROMOTION_GATE,E2_DEVELOPMENTAL,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
ABLATION_PROFIT_HARVEST_ONLY,REJECTED_OR_REDUNDANT_CONTROL,DID_NOT_PASS_SEQUENTIAL_PROMOTION_GATE,E2_DEVELOPMENTAL,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
ABLATION_REGIME_ONLY,REJECTED_OR_REDUNDANT_CONTROL,DID_NOT_PASS_SEQUENTIAL_PROMOTION_GATE,E2_DEVELOPMENTAL,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
ABLATION_SCALE_IN_PLUS_EXIT_NOT_RUN,REJECTED_OR_REDUNDANT_CONTROL,DID_NOT_PASS_SEQUENTIAL_PROMOTION_GATE,E2_DEVELOPMENTAL,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
ABLATION_LIFECYCLE_PLUS_REGIME,REJECTED,NO_QUALIFYING_EXIT_OR_REGIME_COMPONENT_AND_HARD_DRAWDOWN_GATE_FAILED,E2_DEVELOPMENTAL,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
FULL_CONTROLLED_COMBINATION,REJECTED,NO_QUALIFYING_EXIT_OR_REGIME_COMPONENT_AND_HARD_DRAWDOWN_GATE_FAILED,E2_DEVELOPMENTAL,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
