economic_theme,definition,current_family_ids,family_count,evidence_basis_required,deepvue_exact_labels,retain_only_if_coherent_investable_exposure,taxonomy_version,warning
INFRASTRUCTURE,Europe listed infrastructure,EUROPE_INFRASTRUCTURE;GLOBAL_INFRASTRUCTURE,2,INDEX_METHODOLOGY_OR_FUND_OBJECTIVE_PLUS_HOLDINGS_WHERE_AMBIGUOUS,NOT_APPLICABLE,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
OIL_AND_GAS,Global oil and gas equities,GLOBAL_OIL_GAS,1,INDEX_METHODOLOGY_OR_FUND_OBJECTIVE_PLUS_HOLDINGS_WHERE_AMBIGUOUS,Oil & Gas,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
QUANTUM,Quantum-computing ecosystem,GLOBAL_QUANTUM_COMPUTING,1,INDEX_METHODOLOGY_OR_FUND_OBJECTIVE_PLUS_HOLDINGS_WHERE_AMBIGUOUS,Quantum,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
RETAIL,Retail and e-commerce businesses,GLOBAL_RETAIL,1,INDEX_METHODOLOGY_OR_FUND_OBJECTIVE_PLUS_HOLDINGS_WHERE_AMBIGUOUS,Retail,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
ROBOTICS,Robotics and industrial automation,GLOBAL_ROBOTICS_AUTOMATION,1,INDEX_METHODOLOGY_OR_FUND_OBJECTIVE_PLUS_HOLDINGS_WHERE_AMBIGUOUS,Robotics,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
SEMICONDUCTORS,Global semiconductor value chain,GLOBAL_SEMICONDUCTORS,1,INDEX_METHODOLOGY_OR_FUND_OBJECTIVE_PLUS_HOLDINGS_WHERE_AMBIGUOUS,Semiconductors,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
SILVER_MINERS,Global silver-mining equities,GLOBAL_SILVER_MINERS,1,INDEX_METHODOLOGY_OR_FUND_OBJECTIVE_PLUS_HOLDINGS_WHERE_AMBIGUOUS,Silver Miners,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
SOFTWARE,Software and cloud businesses,GLOBAL_SOFTWARE,1,INDEX_METHODOLOGY_OR_FUND_OBJECTIVE_PLUS_HOLDINGS_WHERE_AMBIGUOUS,Software,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
SOLAR,Solar-energy value chain,GLOBAL_SOLAR,1,INDEX_METHODOLOGY_OR_FUND_OBJECTIVE_PLUS_HOLDINGS_WHERE_AMBIGUOUS,Solar,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
SPACE,Commercial space economy,GLOBAL_SPACE,1,INDEX_METHODOLOGY_OR_FUND_OBJECTIVE_PLUS_HOLDINGS_WHERE_AMBIGUOUS,NOT_APPLICABLE,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
TRANSPORTATION,Transportation and logistics,GLOBAL_TRANSPORTATION,1,INDEX_METHODOLOGY_OR_FUND_OBJECTIVE_PLUS_HOLDINGS_WHERE_AMBIGUOUS,Transports,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
URANIUM_NUCLEAR,Uranium miners and nuclear-energy value chain,GLOBAL_URANIUM_NUCLEAR,1,INDEX_METHODOLOGY_OR_FUND_OBJECTIVE_PLUS_HOLDINGS_WHERE_AMBIGUOUS,NOT_APPLICABLE,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
WATER,Water infrastructure and services,GLOBAL_WATER,1,INDEX_METHODOLOGY_OR_FUND_OBJECTIVE_PLUS_HOLDINGS_WHERE_AMBIGUOUS,NOT_APPLICABLE,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
