economic_exposure_family_id,economic_exposure_name,universe_tier,opportunity_type,asset_class,sub_asset_class,a0_primary_geography,a0_geographic_scope,sector,industry,economic_theme,deepvue_theme,intended_rotation_role,primary_rotation_role,rotation_pool_id,primary_competition_pool_id,parent_exposure_family_id,secondary_parent_exposure_family_id,overlap_cluster_id,overlap_basis,breadth_level,economic_beta_cluster,selectable_flag,benchmark_only_flag,primary_equity_competition_flag,research_data_ready_flag,a2_lineage_validation_status,a2_lineage_issue,valid_return_observations,first_valid_date,last_valid_date,research_maturity,shorter_than_504_observations,recovered_by_dynamic_admission,data_quality_flags,dynamic_admission_rule,current_eligibility_back_projected,warning,raw_earliest_valid_21_session_signal_date,earliest_valid_21_session_signal_date,eligible_21_session_research,raw_earliest_valid_42_session_signal_date,earliest_valid_42_session_signal_date,eligible_42_session_research,raw_earliest_valid_63_session_signal_date,earliest_valid_63_session_signal_date,eligible_63_session_research,raw_earliest_valid_126_session_signal_date,earliest_valid_126_session_signal_date,eligible_126_session_research,raw_earliest_valid_252_session_signal_date,earliest_valid_252_session_signal_date,eligible_252_session_research
EMERGING_MARKETS,Broad emerging-market equities,CORE,GEOGRAPHY,EQUITY,BROAD_MARKET_EQUITY,EMERGING_MARKETS,MULTI_REGION,BROAD_MARKET,BROAD_MARKET,NOT_APPLICABLE,NOT_APPLICABLE,BROAD_GEOGRAPHY_ROTATION,BROAD_GEOGRAPHY_ROTATION,POOL_BROAD_GEOGRAPHY_PRIMARY,POOL_BROAD_GEOGRAPHY_PRIMARY,GLOBAL_ALL_WORLD,NOT_APPLICABLE,OVL_EMERGING_ASIA_EQUITY,COMMON_GEOGRAPHIC_BETA,BROAD_REGION,BETA_EMERGING_ASIA_EQUITY,YES,NO,YES,YES,PASS,NOT_APPLICABLE,3534,2012-06-01,2026-08-21,MATURE,NO,NO,HISTORICAL_ELIGIBILITY_UNRESOLVED;NOT_APPLICABLE,L_CUMULATIVE_VALID_A2_OBSERVATIONS_NO_STALE_MISSING_PROXY,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,2012-08-03,2012-08-03,YES,2012-09-10,2012-09-10,YES,2012-10-09,2012-10-09,YES,2013-01-11,2013-01-11,YES,2013-07-12,2013-07-12,YES
EUROPE_AEROSPACE_DEFENCE,Aerospace and defence businesses,EXTENDED,THEMATIC,EQUITY,INDUSTRY_EQUITY,EUROPE,REGION,INDUSTRIALS,AEROSPACE_AND_DEFENCE,DEFENCE,Aerospace,THEME_ROTATION,THEME_ROTATION,POOL_EUROPE_THEMES,POOL_EUROPE_THEMES,EUROPE_INDUSTRIALS,EUROPE_BROAD,OVL_INDUSTRIAL_DEFENCE_INFRA,STRONG_PARENT_CHILD_OR_THEMATIC_OVERLAP,THEME,BETA_INDUSTRIALS,YES,NO,YES,YES,PASS,NOT_APPLICABLE,916,2019-07-08,2026-08-21,DEVELOPING,NO,NO,HISTORICAL_ELIGIBILITY_UNRESOLVED;NOT_APPLICABLE,L_CUMULATIVE_VALID_A2_OBSERVATIONS_NO_STALE_MISSING_PROXY,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,2020-03-02,2020-03-02,YES,2020-11-06,2020-11-06,YES,2021-01-28,2021-01-28,YES,2021-10-20,2021-10-20,YES,2022-07-18,2022-07-18,YES
EUROPE_BANKS,Europe banking industry,EXTENDED,SECTOR_INDUSTRY,EQUITY,INDUSTRY_EQUITY,EUROPE,REGION,FINANCIALS,BANKS,NOT_APPLICABLE,Banks,INDUSTRY_ROTATION,INDUSTRY_ROTATION,POOL_EUROPE_INDUSTRIES,POOL_EUROPE_INDUSTRIES,EUROPE_FINANCIALS,NOT_APPLICABLE,OVL_FINANCIALS_AND_BANKS,STRONG_PARENT_CHILD_OVERLAP,INDUSTRY_OR_SUBSECTOR,BETA_FINANCIALS,YES,NO,YES,YES,PASS,NOT_APPLICABLE,2953,2014-10-29,2026-08-21,MATURE,NO,NO,HISTORICAL_ELIGIBILITY_UNRESOLVED;NOT_APPLICABLE,L_CUMULATIVE_VALID_A2_OBSERVATIONS_NO_STALE_MISSING_PROXY,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,2014-11-26,2014-11-26,YES,2014-12-29,2014-12-29,YES,2015-01-28,2015-01-28,YES,2015-04-29,2015-04-29,YES,2015-10-27,2015-10-27,YES
EUROPE_BROAD,Broad developed European equities,CORE,GEOGRAPHY,EQUITY,BROAD_MARKET_EQUITY,EUROPE,REGION,BROAD_MARKET,BROAD_MARKET,NOT_APPLICABLE,NOT_APPLICABLE,BROAD_GEOGRAPHY_ROTATION,BROAD_GEOGRAPHY_ROTATION,POOL_BROAD_GEOGRAPHY_PRIMARY,POOL_BROAD_GEOGRAPHY_PRIMARY,GLOBAL_DEVELOPED_WORLD,NOT_APPLICABLE,OVL_EUROPE_BROAD_EQUITY,COMMON_GEOGRAPHIC_BETA,BROAD_REGION,BETA_EUROPE_EQUITY,YES,NO,YES,YES,PASS,NOT_APPLICABLE,3392,2010-06-01,2026-08-21,MATURE,NO,NO,HISTORICAL_ELIGIBILITY_UNRESOLVED;NOT_APPLICABLE,L_CUMULATIVE_VALID_A2_OBSERVATIONS_NO_STALE_MISSING_PROXY,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,2011-02-07,2011-02-07,YES,2011-08-11,2011-08-11,YES,2012-03-29,2012-03-29,YES,2013-06-07,2013-06-07,YES,2014-01-24,2014-01-24,YES
EUROPE_CONSUMER_STAPLES,Broad consumer-staples sector,CORE,SECTOR_INDUSTRY,EQUITY,SECTOR_EQUITY,EUROPE,REGION,CONSUMER_STAPLES,BROAD_SECTOR,NOT_APPLICABLE,NOT_APPLICABLE,SECTOR_ROTATION,SECTOR_ROTATION,POOL_EUROPE_BROAD_SECTORS,POOL_EUROPE_BROAD_SECTORS,EUROPE_BROAD,NOT_APPLICABLE,OVL_CONSUMER_AND_RETAIL,COMMON_SECTOR_BETA,BROAD_SECTOR,BETA_CONSUMER_STAPLES,YES,NO,YES,YES,PASS,NOT_APPLICABLE,2852,2014-12-12,2026-08-21,MATURE,NO,NO,HISTORICAL_ELIGIBILITY_UNRESOLVED;NOT_APPLICABLE,L_CUMULATIVE_VALID_A2_OBSERVATIONS_NO_STALE_MISSING_PROXY,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,2015-01-14,2015-01-14,YES,2015-02-12,2015-02-12,YES,2015-03-13,2015-03-13,YES,2015-06-16,2015-06-16,YES,2015-12-10,2015-12-10,YES
EUROPE_ENERGY,Broad global energy sector,CORE,SECTOR_INDUSTRY,EQUITY,SECTOR_EQUITY,EUROPE,REGION,ENERGY,BROAD_SECTOR,NOT_APPLICABLE,NOT_APPLICABLE,SECTOR_ROTATION,INSUFFICIENT_DATA,POOL_EUROPE_BROAD_SECTORS,POOL_INSUFFICIENT_DATA,EUROPE_BROAD,NOT_APPLICABLE,OVL_ENERGY_AND_TRANSITION,COMMON_SECTOR_OR_THEMATIC_BETA,BROAD_SECTOR,BETA_ENERGY,NO,NO,NO,NO,FAIL_MATERIAL_MISCLASSIFICATION,A2 history uses an MSCI World Energy fund,1088,2022-04-07,2026-08-21,DEVELOPING,NO,NO,HISTORICAL_ELIGIBILITY_UNRESOLVED;MATERIAL_A2_ECONOMIC_LINEAGE_MISMATCH;NOT_APPLICABLE,L_CUMULATIVE_VALID_A2_OBSERVATIONS_NO_STALE_MISSING_PROXY,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,2022-05-10,,NO,2022-06-10,,NO,2022-07-11,,NO,2022-10-12,,NO,2023-04-17,,NO
EUROPE_EX_UK,Developed Europe excluding the UK,CORE,GEOGRAPHY,EQUITY,BROAD_MARKET_EQUITY,EUROPE_EX_UK,REGION,BROAD_MARKET,BROAD_MARKET,NOT_APPLICABLE,NOT_APPLICABLE,BROAD_GEOGRAPHY_ROTATION,BROAD_GEOGRAPHY_ROTATION,POOL_REGIONAL_SATELLITES,POOL_REGIONAL_SATELLITES,EUROPE_BROAD,GLOBAL_DEVELOPED_WORLD,OVL_EUROPE_BROAD_EQUITY,COMMON_GEOGRAPHIC_BETA,BROAD_REGION,BETA_EUROPE_EQUITY,YES,NO,YES,YES,PASS,NOT_APPLICABLE,2231,2017-08-16,2026-08-21,MATURE,NO,NO,HISTORICAL_ELIGIBILITY_UNRESOLVED;NOT_APPLICABLE,L_CUMULATIVE_VALID_A2_OBSERVATIONS_NO_STALE_MISSING_PROXY,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,2017-09-19,2017-09-19,YES,2017-10-20,2017-10-20,YES,2017-11-24,2017-11-24,YES,2018-02-26,2018-02-26,YES,2018-08-31,2018-08-31,YES
EUROPE_FINANCIALS,Broad global financials sector,CORE,SECTOR_INDUSTRY,EQUITY,SECTOR_EQUITY,EUROPE,REGION,FINANCIALS,BROAD_SECTOR,NOT_APPLICABLE,NOT_APPLICABLE,SECTOR_ROTATION,INSUFFICIENT_DATA,POOL_EUROPE_BROAD_SECTORS,POOL_INSUFFICIENT_DATA,EUROPE_BROAD,NOT_APPLICABLE,OVL_FINANCIALS_AND_BANKS,STRONG_PARENT_CHILD_OVERLAP,BROAD_SECTOR,BETA_FINANCIALS,NO,NO,NO,NO,FAIL_MATERIAL_MISCLASSIFICATION,A2 history switches from Europe Financials to MSCI World Financials,2915,2014-12-12,2026-08-21,MATURE,NO,NO,HISTORICAL_ELIGIBILITY_UNRESOLVED;MATERIAL_A2_ECONOMIC_LINEAGE_MISMATCH;NOT_APPLICABLE,L_CUMULATIVE_VALID_A2_OBSERVATIONS_NO_STALE_MISSING_PROXY,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,2015-01-14,,NO,2015-02-12,,NO,2015-03-13,,NO,2015-06-16,,NO,2015-12-10,,NO
EUROPE_HEALTHCARE,Broad global healthcare sector,CORE,SECTOR_INDUSTRY,EQUITY,SECTOR_EQUITY,EUROPE,REGION,HEALTHCARE,BROAD_SECTOR,NOT_APPLICABLE,Healthcare,SECTOR_ROTATION,INSUFFICIENT_DATA,POOL_EUROPE_BROAD_SECTORS,POOL_INSUFFICIENT_DATA,EUROPE_BROAD,NOT_APPLICABLE,OVL_HEALTHCARE_INNOVATION,STRONG_PARENT_CHILD_OR_INDUSTRY_OVERLAP,BROAD_SECTOR,BETA_HEALTHCARE,NO,NO,NO,NO,FAIL_MATERIAL_MISCLASSIFICATION,A2 history switches from Europe Healthcare to MSCI World Health Care,2915,2014-12-12,2026-08-21,MATURE,NO,NO,HISTORICAL_ELIGIBILITY_UNRESOLVED;MATERIAL_A2_ECONOMIC_LINEAGE_MISMATCH;NOT_APPLICABLE,L_CUMULATIVE_VALID_A2_OBSERVATIONS_NO_STALE_MISSING_PROXY,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,2015-01-14,,NO,2015-02-12,,NO,2015-03-17,,NO,2015-06-18,,NO,2015-12-14,,NO
EUROPE_INDUSTRIALS,Broad global industrials sector,CORE,SECTOR_INDUSTRY,EQUITY,SECTOR_EQUITY,EUROPE,REGION,INDUSTRIALS,BROAD_SECTOR,NOT_APPLICABLE,Industrials,SECTOR_ROTATION,INSUFFICIENT_DATA,POOL_EUROPE_BROAD_SECTORS,POOL_INSUFFICIENT_DATA,EUROPE_BROAD,NOT_APPLICABLE,OVL_INDUSTRIAL_DEFENCE_INFRA,STRONG_PARENT_CHILD_OR_THEMATIC_OVERLAP,BROAD_SECTOR,BETA_INDUSTRIALS,NO,NO,NO,NO,FAIL_MATERIAL_MISCLASSIFICATION,A2 history uses an MSCI World Industrials fund,2546,2016-05-09,2026-08-21,MATURE,NO,NO,HISTORICAL_ELIGIBILITY_UNRESOLVED;MATERIAL_A2_ECONOMIC_LINEAGE_MISMATCH;NOT_APPLICABLE,L_CUMULATIVE_VALID_A2_OBSERVATIONS_NO_STALE_MISSING_PROXY,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,2016-06-07,,NO,2016-07-06,,NO,2016-08-04,,NO,2016-11-02,,NO,2017-05-09,,NO
EUROPE_INFRASTRUCTURE,Europe listed infrastructure,EXTENDED,THEMATIC,INFRASTRUCTURE,LISTED_INFRASTRUCTURE_EQUITY,EUROPE,REGION,INDUSTRIALS,INFRASTRUCTURE,INFRASTRUCTURE,NOT_APPLICABLE,THEME_ROTATION,THEME_ROTATION,POOL_EUROPE_THEMES,POOL_EUROPE_THEMES,EUROPE_INDUSTRIALS,EUROPE_BROAD,OVL_INDUSTRIAL_DEFENCE_INFRA,STRONG_PARENT_CHILD_OR_THEMATIC_OVERLAP,THEME,BETA_INDUSTRIALS,YES,NO,YES,YES,PASS,NOT_APPLICABLE,131,2026-02-12,2026-08-21,NEW,YES,YES,HISTORICAL_ELIGIBILITY_UNRESOLVED;NOT_APPLICABLE,L_CUMULATIVE_VALID_A2_OBSERVATIONS_NO_STALE_MISSING_PROXY,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,2026-03-12,2026-03-12,YES,2026-04-14,2026-04-14,YES,2026-05-15,2026-05-15,YES,2026-08-14,2026-08-14,YES,,,NO
EUROPE_MATERIALS,Broad global materials sector,CORE,SECTOR_INDUSTRY,EQUITY,SECTOR_EQUITY,EUROPE,REGION,MATERIALS,BROAD_SECTOR,NOT_APPLICABLE,Materials,SECTOR_ROTATION,INSUFFICIENT_DATA,POOL_EUROPE_BROAD_SECTORS,POOL_INSUFFICIENT_DATA,EUROPE_BROAD,NOT_APPLICABLE,OVL_MATERIALS_AND_MINERS,STRONG_PARENT_CHILD_OR_COMMODITY_SENSITIVITY,BROAD_SECTOR,BETA_MATERIALS,NO,NO,NO,NO,FAIL_MATERIAL_MISCLASSIFICATION,A2 history uses an MSCI World Materials fund,2550,2016-05-09,2026-08-21,MATURE,NO,NO,HISTORICAL_ELIGIBILITY_UNRESOLVED;MATERIAL_A2_ECONOMIC_LINEAGE_MISMATCH;NOT_APPLICABLE,L_CUMULATIVE_VALID_A2_OBSERVATIONS_NO_STALE_MISSING_PROXY,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,2016-06-07,,NO,2016-07-06,,NO,2016-08-04,,NO,2016-11-02,,NO,2017-05-05,,NO
