rotation_pool_id,pool_description,intended_rotation_roles,descriptive_family_count,effective_research_family_count,selectable_family_count,benchmark_only_family_count,primary_equity_tournament_pool,descriptive_member_family_ids,effective_member_family_ids,external_reference_assets,deepvue_controls_membership,warning
POOL_GLOBAL_BENCHMARK_REFERENCES,Benchmark-only broad global equity references,BENCHMARK_REFERENCE,4,4,0,4,NO,GLOBAL_ALL_WORLD;GLOBAL_DEVELOPED_WORLD;GLOBAL_DEVELOPED_WORLD_EUR_HEDGED;GLOBAL_DEVELOPED_WORLD_GBP_HEDGED,GLOBAL_ALL_WORLD;GLOBAL_DEVELOPED_WORLD;GLOBAL_DEVELOPED_WORLD_EUR_HEDGED;GLOBAL_DEVELOPED_WORLD_GBP_HEDGED,NOT_APPLICABLE,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
POOL_GLOBAL_BROAD_SECTORS,Provider-neutral global broad sectors,SECTOR_ROTATION,11,11,11,0,YES,GLOBAL_COMMUNICATION_SERVICES;GLOBAL_CONSUMER_DISCRETIONARY;GLOBAL_CONSUMER_STAPLES;GLOBAL_ENERGY;GLOBAL_FINANCIALS;GLOBAL_HEALTHCARE;GLOBAL_INDUSTRIALS;GLOBAL_MATERIALS;GLOBAL_REAL_ESTATE;GLOBAL_TECHNOLOGY;GLOBAL_UTILITIES,GLOBAL_COMMUNICATION_SERVICES;GLOBAL_CONSUMER_DISCRETIONARY;GLOBAL_CONSUMER_STAPLES;GLOBAL_ENERGY;GLOBAL_FINANCIALS;GLOBAL_HEALTHCARE;GLOBAL_INDUSTRIALS;GLOBAL_MATERIALS;GLOBAL_REAL_ESTATE;GLOBAL_TECHNOLOGY;GLOBAL_UTILITIES,NOT_APPLICABLE,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
POOL_GLOBAL_INDUSTRIES,Global industry and subsector opportunities,INDUSTRY_ROTATION,8,7,7,0,YES,GLOBAL_BANKS;GLOBAL_BIOTECHNOLOGY;GLOBAL_GOLD_MINERS;GLOBAL_OIL_GAS;GLOBAL_RETAIL;GLOBAL_SILVER_MINERS;GLOBAL_SOFTWARE;GLOBAL_TRANSPORTATION,GLOBAL_BIOTECHNOLOGY;GLOBAL_GOLD_MINERS;GLOBAL_OIL_GAS;GLOBAL_RETAIL;GLOBAL_SILVER_MINERS;GLOBAL_SOFTWARE;GLOBAL_TRANSPORTATION,NOT_APPLICABLE,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
POOL_GLOBAL_MARKET_CAP_SATELLITES,Global size-segment satellites,BROAD_GEOGRAPHY_ROTATION,1,1,1,0,YES,GLOBAL_SMALL_CAP,GLOBAL_SMALL_CAP,NOT_APPLICABLE,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
POOL_GLOBAL_THEMES,Global evidence-backed themes,THEME_ROTATION,15,14,14,0,YES,GLOBAL_AEROSPACE_DEFENCE;GLOBAL_AGRIBUSINESS;GLOBAL_AI;GLOBAL_BATTERY_EV;GLOBAL_CLEAN_ENERGY;GLOBAL_CYBERSECURITY;GLOBAL_GENOMICS;GLOBAL_INFRASTRUCTURE;GLOBAL_QUANTUM_COMPUTING;GLOBAL_ROBOTICS_AUTOMATION;GLOBAL_SEMICONDUCTORS;GLOBAL_SOLAR;GLOBAL_SPACE;GLOBAL_URANIUM_NUCLEAR;GLOBAL_WATER,GLOBAL_AEROSPACE_DEFENCE;GLOBAL_AGRIBUSINESS;GLOBAL_AI;GLOBAL_BATTERY_EV;GLOBAL_CLEAN_ENERGY;GLOBAL_CYBERSECURITY;GLOBAL_GENOMICS;GLOBAL_INFRASTRUCTURE;GLOBAL_QUANTUM_COMPUTING;GLOBAL_ROBOTICS_AUTOMATION;GLOBAL_SEMICONDUCTORS;GLOBAL_SOLAR;GLOBAL_URANIUM_NUCLEAR;GLOBAL_WATER,NOT_APPLICABLE,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
POOL_HEDGED_GEOGRAPHY_VARIANTS,"Currency-hedged variants compared with their unhedged parent, not counted as extra regions",BROAD_GEOGRAPHY_ROTATION,6,5,5,0,YES,EUROZONE_USD_HEDGED;JAPAN_EUR_HEDGED;JAPAN_GBP_HEDGED;US_BROAD_LARGE_CAP_EUR_HEDGED;US_BROAD_LARGE_CAP_GBP_HEDGED;US_TOTAL_MARKET_GBP_HEDGED,EUROZONE_USD_HEDGED;JAPAN_EUR_HEDGED;JAPAN_GBP_HEDGED;US_BROAD_LARGE_CAP_EUR_HEDGED;US_BROAD_LARGE_CAP_GBP_HEDGED,NOT_APPLICABLE,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
POOL_INSUFFICIENT_DATA,Families blocked by absent history or material A2 economic-lineage mismatch,NOT_AVAILABLE,0,10,0,0,NO,NOT_AVAILABLE,CHINA_BROAD_USD_HEDGED;GBP_OVERNIGHT_CASH;GLOBAL_BANKS;GLOBAL_CORPORATE_IG_GBP_HEDGED;GLOBAL_SPACE;LATIN_AMERICA;UK_GILTS_LONG;UK_INDEX_LINKED_GILTS;US_AI;US_TOTAL_MARKET_GBP_HEDGED,NOT_APPLICABLE,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
POOL_REGIONAL_SATELLITES,Narrower regional variants that must not multiply the broad-geography tournament,BROAD_GEOGRAPHY_ROTATION,3,3,3,0,YES,ASIA_PACIFIC_EX_JAPAN;EMERGING_ASIA;EUROPE_EX_UK,ASIA_PACIFIC_EX_JAPAN;EMERGING_ASIA;EUROPE_EX_UK,NOT_APPLICABLE,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
POOL_UK_MARKET_CAP_BREADTH,"UK broad, large-, mid- and small-cap breadth comparisons",BROAD_GEOGRAPHY_ROTATION,3,3,3,0,YES,UK_LARGE_CAP;UK_MID_CAP;UK_SMALL_CAP,UK_LARGE_CAP;UK_MID_CAP;UK_SMALL_CAP,NOT_APPLICABLE,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
POOL_US_BROAD_SECTORS,Provider-neutral US broad sectors,SECTOR_ROTATION,4,4,4,0,YES,US_COMMUNICATION_SERVICES;US_CONSUMER_STAPLES;US_FINANCIALS;US_HEALTHCARE,US_COMMUNICATION_SERVICES;US_CONSUMER_STAPLES;US_FINANCIALS;US_HEALTHCARE,NOT_APPLICABLE,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
POOL_US_INDUSTRIES,US industry and subsector opportunities,INDUSTRY_ROTATION,1,1,1,0,YES,US_BANKS,US_BANKS,NOT_APPLICABLE,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
POOL_US_MARKET_BREADTH_STYLE,"US broad, total-market, Nasdaq and small-cap breadth/style comparisons",BROAD_GEOGRAPHY_ROTATION,3,3,3,0,YES,US_NASDAQ_100;US_SMALL_CAP;US_TOTAL_MARKET,US_NASDAQ_100;US_SMALL_CAP;US_TOTAL_MARKET,NOT_APPLICABLE,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
POOL_US_THEMES,US-specific themes,THEME_ROTATION,2,1,1,0,YES,US_AEROSPACE_DEFENCE;US_AI,US_AEROSPACE_DEFENCE,NOT_APPLICABLE,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
